,UniProtID,proteinNames,txt_subunit,geneNames
226,B5GX03,['Carbamoyl phosphate synthase large chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carB', 'SCLAV_0712']"
227,B5H3J5,['Putative cation efflux protein'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[]
228,B5GYY2,['Transport protein'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[]
229,E2Q2S3,['Putative cation efflux system protein'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[]
230,B5GUY9,['Integral membrane efflux protein'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[]
231,E2Q7W1,['Phosphodiesterase'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[]
232,E2Q7D5,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']","Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['ispE', 'ispE2', 'SCLAV_2268']"
233,B5GWW4,"['Phosphatidylinositol phosphate synthase', 'PIP synthase']",Homodimer.,"['pgsA', 'SCLAV_0758']"
234,B5H4C0,['Choline transport system permease protein opuBB'],Homodimer.,[]
235,E2Q8J1,['ABC-type quaternary amine transporter'],Homodimer.,[]
236,E2PYI2,['ABC-type xenobiotic transporter'],Homodimer.,[]
237,D5SKP4,['ABC-type quaternary amine transporter'],Homodimer.,[]
238,D5SKP2,['Substrate-binding region of ABC-type glycine betaine transport system'],Homodimer.,[]
239,E2Q8J0,['ABC transporter permease'],Homodimer.,[]
240,E2Q2N4,['Putative GMC-family oxidoreductase'],Homodimer.,[]
241,E2PZ13,['chorismate mutase'],Homodimer.,"['aroH2', 'SCLAV_3273']"
242,E2PZH8,['Chorismate mutase'],Homodimer.,"['aroH1', 'SCLAV_1209']"
243,B5H2A1,['chorismate mutase'],Homodimer.,[]
244,E2PV56,"['Chorismate synthase', 'CS']",Homotetramer.,"['aroC', 'SCLAV_0727']"
245,E2PWD1,"['L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase', 'L-Cys:GlcN-Ins ligase']",Monomer.,"['cysS', 'mshC', 'SCLAV_0887']"
246,B5GRU3,['Citrate lyase beta chain'],Monomer.,"['citE', 'SCLAV_5058']"
247,E2PZK9,['Putative citrate lyase beta chain'],Monomer.,[]
248,B5GZX5,['Divalent metal ions/citrate complex secondary transporter'],Monomer.,"['citH', 'SCLAV_0928']"
249,B5GUR3,['Betaine-aldehyde dehydrogenase'],Monomer.,[]
250,B5GWT9,['Daunorubicin resistance ABC transporter ATPase subunit'],Monomer.,[]
251,B5GPY8,['Cyclic pyranopterin monophosphate synthase'],Homohexamer; trimer of dimers.,"['moaC', 'SCLAV_2317']"
252,E2Q0E0,['Heme chaperone HemW'],Homohexamer; trimer of dimers.,[]
253,B5H157,['Glycine betaine ABC transport system permease protein'],Homohexamer; trimer of dimers.,[]
254,E2PW85,['Glycine betaine ABC transport ATP-binding protein'],Homohexamer; trimer of dimers.,[]
255,B5H0D8,['Putative ABC transporter ATP-binding protein'],Homohexamer; trimer of dimers.,[]
256,B5GW76,['Citrate synthase'],Homohexamer; trimer of dimers.,[]
257,E2Q063,['Putative citrate synthase 2'],Homohexamer; trimer of dimers.,"['citA', 'SCLAV_3411']"
258,E2Q4E2,['Citrate synthase'],Homohexamer; trimer of dimers.,"['gltA', 'SCLAV_1907']"
259,E2Q1I0,['Cytosine deaminase-like metal-dependent hydrolase'],Homohexamer; trimer of dimers.,[]
260,E2PWV8,['tRNA-specific adenosine deaminase'],Homodimer.,"['cdd', 'tadA', 'SCLAV_3036']"
261,E2Q7Q8,['enoyl-CoA hydratase'],Homodimer.,[]
262,B5GQ29,['Putative enoyl-CoA hydratase/isomerase'],Homodimer.,[]
263,E2Q6Z3,['Enoyl-CoA hydratase'],Homodimer.,[]
264,E2PXE3,"['CTP synthase', ""Cytidine 5'-triphosphate synthase"", 'Cytidine triphosphate synthetase']",Homotetramer.,"['pyrG', 'SCLAV_0987']"
265,E2PWF0,['Multicopper oxidase type 2'],Homotetramer.,[]
266,E2Q322,['Metal transport ABC transporter'],Homotetramer.,"['mntB', 'SCLAV_1700']"
267,B5GUX3,['Cytochrome bc1 complex cytochrome c subunit'],"The cytochrome bc1 complex is composed of a cytochrome b (QcrB), the Rieske iron-sulfur protein (QcrA) and a diheme cytochrome c (QcrC) subunit.","['qcrC', 'SCLAV_1366']"
268,B5GUX2,"['Cytochrome bc1 complex Rieske iron-sulfur subunit', 'Cytochrome bc1 reductase complex subunit QcrA', 'Rieske iron-sulfur protein', 'Ubiquinol--cytochrome c reductase iron-sulfur subunit']","The cytochrome bc1 complex is composed of a cytochrome b (QcrB), the Rieske iron-sulfur protein (QcrA) and a diheme cytochrome c (QcrC) subunit.",[]
269,B5GUX1,['Cytochrome bc1 complex cytochrome b subunit'],"The cytochrome bc1 complex is composed of a cytochrome b (QcrB), the Rieske iron-sulfur protein (QcrA) and a diheme cytochrome c (QcrC) subunit.",[]
270,B5GUX9,"['Probable cytochrome c oxidase subunit 2', 'Cytochrome aa3 subunit 2', 'Cytochrome c oxidase polypeptide II']","The cytochrome bc1 complex is composed of a cytochrome b (QcrB), the Rieske iron-sulfur protein (QcrA) and a diheme cytochrome c (QcrC) subunit.",[]
271,B5GUX8,['Cytochrome c oxidase subunit 1'],"Associates with subunits II, III and IV to form cytochrome c oxidase.","['coxa', 'SCLAV_1371']"
272,B5GUX4,"['cytochrome-c oxidase', 'Cytochrome aa3 subunit 3', 'Cytochrome c oxidase polypeptide III']","Associates with subunits II, III and IV to form cytochrome c oxidase.","['cox', 'SCLAV_1367']"
273,B5GYK4,"['Protoheme IX farnesyltransferase', 'Heme B farnesyltransferase', 'Heme O synthase']","Associates with subunits II, III and IV to form cytochrome c oxidase.","['ctaB', 'SCLAV_1131']"
274,E2PUJ2,['Putative cysteine synthase'],"Associates with subunits II, III and IV to form cytochrome c oxidase.",[]
275,B5GWR1,"['Putative ABC transporter, ATP-binding protein']","Associates with subunits II, III and IV to form cytochrome c oxidase.",[]
276,E2PVL5,['Putative ABC transporter ATP-binding protein and permease component'],"Associates with subunits II, III and IV to form cytochrome c oxidase.",[]
277,B5GZC5,['homocysteine desulfhydrase'],"Associates with subunits II, III and IV to form cytochrome c oxidase.",[]
278,E2PYF2,['1-aminocyclopropane-1-carboxylate deaminase'],"Associates with subunits II, III and IV to form cytochrome c oxidase.","['acd', 'SCLAV_1095']"
279,E2Q2S0,['Cysteine desulfurase'],"Associates with subunits II, III and IV to form cytochrome c oxidase.",[]
280,B5GSN9,"['O-phosphoserine sulfhydrylase', 'CysO-thiocarboxylate-dependent cysteine synthase', 'Cysteine synthase B', 'O-phosphoserine-specific cysteine synthase', '[CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase']",Homodimer.,[]
281,E2PUK9,['Cysteine synthase a CysK2'],Homodimer.,[]
282,B5GZQ3,['Cystathionine beta-synthase'],Homodimer.,[]
283,B5GXD6,['Cytochrome oxidase subunit I'],Homodimer.,[]
284,B5GXD7,['Putative cytochrome D ubiquinol oxidase subunit II'],Homodimer.,[]
285,B5GT04,['Cytidine deaminase'],Homodimer.,[]
286,E2Q656,['Inosine-uridine preferring nucleoside hydrolase'],Homodimer.,"['ybeK', 'SCLAV_0140']"
287,E2PVV3,['Putative fructose transport system kinase'],Homodimer.,"['frcK', 'SCLAV_4870']"
288,B5H299,"['Cytidylate kinase', 'CK']",Homodimer.,"['kcy', 'cmk', 'SCLAV_0973']"
289,E2Q5G2,['Diacylglycerol kinase catalytic region'],Homodimer.,[]
290,E2PYB2,['D-amino-acid oxidase'],Homodimer.,[]
291,E2Q559,['Putative proline permease'],Homodimer.,[]
292,E2Q2R1,['Putative diaminopimelate decarboxylase'],Homodimer.,[]
293,B5GL73,['Diaminopimelate decarboxylase'],Homodimer.,"['lysA', 'SCLAV_4249']"
294,E2PUJ1,['Putative amino acid decarboxylase'],Homodimer.,[]
295,E2Q6D2,['Lysine/ornithine decarboxylase'],Homodimer.,[]
296,E2QA46,"['Diaminopimelate epimerase', 'DAP epimerase']",Homodimer.,"['dapF', 'dapF2', 'SCLAV_4673']"
297,B5GZ30,['Phosphatidate cytidylyltransferase'],Homodimer.,"['cdsA', 'SCLAV_4560']"
298,E2PUD5,['Riboflavin biosynthesis protein RibBA'],Homodimer.,"['ribBA', 'SCLAV_0678']"
299,B5GTA6,"['dCTP deaminase, dUMP-forming', 'Bifunctional dCTP deaminase:dUTPase', 'DCD-DUT']",Homotrimer.,"['dcd', 'SCLAV_2671']"
300,B5H1Q6,['Phospho-2-dehydro-3-deoxyheptonate aldolase'],Homotrimer.,"['aroF', 'SCLAV_1331']"
301,E2PZC6,['Fatty acid desaturase'],Homotrimer.,[]
302,B5H2Z4,['Putative acyl-[acyl-carrier-protein] desaturase DesA1'],Homodimer.,[]
303,E2PV37,['Guanylate kinase'],Homodimer.,"['gmk', 'SCLAV_0708']"
304,E2PVS7,['Putative fatty acid oxidation complex alpha-subunit'],Homodimer.,[]
305,E2Q7N4,"['Dihydroxy-acid dehydratase', 'DAD']",Homodimer.,"['ilvD', 'SCLAV_2367']"
306,E2PYE5,['Dihydroxy-acid dehydratase'],Homodimer.,[]
307,E2PV27,['Putative transcriptional regulator'],Homodimer.,[]
308,E2Q763,['Dihydroxyacetone kinase phosphotransfer protein'],Homodimer.,[]
309,E2Q761,['phosphoenolpyruvate--glycerone phosphotransferase'],"Homodimer. The dihydroxyacetone kinase complex is composed of a homodimer of DhaM, a homodimer of DhaK and the subunit DhaL.",[]
310,E2Q762,['Dihydroxyacetone kinase subunit 2'],"Homodimer. The dihydroxyacetone kinase complex is composed of a homodimer of DhaM, a homodimer of DhaK and the subunit DhaL.","['dak1', 'SCLAV_0233']"
311,B5GNV4,['Putative cyclohex-1-ene-1-carboxylate:CoA ligase'],"Homodimer. The dihydroxyacetone kinase complex is composed of a homodimer of DhaM, a homodimer of DhaK and the subunit DhaL.",[]
312,B5H1S8,"['4-hydroxy-tetrahydrodipicolinate reductase', 'HTPA reductase']",Homotetramer.,"['dapB', 'SCLAV_4629']"
313,B5H1S3,"['4-hydroxy-tetrahydrodipicolinate synthase', 'HTPA synthase']",Homotetramer; dimer of dimers.,"['dapA', 'SCLAV_4634']"
314,E2Q3N4,['Dihydrofolate synthase/folylpolyglutamate synthase'],Monomer.,[]
315,B5GWC6,['Octaprenyl carboxylase'],Monomer.,[]
316,B5GWC5,['4-hydroxybenzoate polyprenyltransferase'],Monomer.,"['ubiA', 'SCLAV_3546']"
317,B5H3W7,"['1,4-dihydroxy-6-naphtoate synthase']",Monomer.,"['mqnD', 'SCLAV_3306']"
318,E2Q8J4,"['7,8-dihydroneopterin aldolase']",Monomer.,"['folX', 'SCLAV_2409']"
319,E2PV40,['Dihydroorotate dehydrogenase (quinone)'],Monomer.,[]
320,B5H1V1,['D-aminoacylase'],Monomer.,[]
321,E2PWH0,['Acyl dehydratase'],Monomer.,[]
322,B5GUR4,['Extradiol ring-cleavage dioxygenase'],Monomer.,[]
323,E2Q4R4,"['Dihydropteroate synthase', 'DHPS']",Homodimer.,[]
324,B5GPB3,"['Dihydropteroate synthase', 'DHPS']",Homodimer.,[]
325,B5GWZ1,"['3-dehydroquinate synthase', 'DHQS']",Homodimer.,"['aroB', 'SCLAV_0725']"
326,B5GMF2,['2-epi-5-epi-valiolone synthase'],Homodimer.,[]
327,B5GWZ2,"['3-dehydroquinate dehydratase', '3-dehydroquinase']",Homododecamer.,"['aroQ', 'SCLAV_0724']"
328,E2Q1B6,['Aminodeoxyfutalosine synthase'],Homododecamer.,"['mqnE', 'SCLAV_3549']"
329,E2Q1C4,"['Cyclic dehypoxanthine futalosine synthase', 'Cyclic DHFL synthase', 'Dehypoxanthine futalosine cyclase', 'DHFL cyclase', 'Menaquinone biosynthetic enzyme MqnC']",Homododecamer.,"['mqnC', 'SCLAV_3557']"
330,E2Q2N0,['Geranylgeranyl diphosphate synthase'],Homododecamer.,[]
331,E2PZ47,['Polyprenyl diphosphate synthase'],Homododecamer.,"['hopB', 'SCLAV_5236']"
332,B5GWG3,['Isoprenyl diphosphate synthase'],Homododecamer.,[]
333,E2Q9H0,['Putative polyprenyl synthetase'],Homododecamer.,[]
334,E2Q493,"['4-hydroxy-3-methylbut-2-enyl diphosphate reductase', 'HMBPP reductase']",Homododecamer.,"['ispH', 'ispH2', 'SCLAV_3957']"
335,E2QA66,"[""DNA 3'-5' helicase""]",Homododecamer.,[]
336,E2Q9R5,['Ion-transporting ATPase'],Homododecamer.,[]
337,B5GZG8,['NTP pyrophosphohydrolase'],Homododecamer.,[]
338,E2Q4N1,['8-oxo-dGTP diphosphatase'],Homododecamer.,"['mutT', 'SCLAV_3966']"
339,E2PXE2,['ADP-ribose pyrophosphatase'],Homododecamer.,"['nudF', 'SCLAV_0986']"
340,B5GXL0,['Dephospho-CoA kinase'],Homododecamer.,"['coaE', 'SCLAV_1183']"
341,E2Q7X9,"['Ketol-acid reductoisomerase (NADP(+))', 'KARI', 'Acetohydroxy-acid isomeroreductase', 'AHIR', 'Alpha-keto-beta-hydroxylacyl reductoisomerase']",Homododecamer.,"['ilvC', 'ilvC2', 'SCLAV_4440']"
342,E2PYM9,['Sugar kinase'],Homododecamer.,[]
343,B5GSY1,['Deoxyribose-phosphate aldolase'],Homododecamer.,"['deoC', 'SCLAV_3819']"
344,E2Q484,['Fumarate hydratase class I'],Homodimer.,[]
345,E2Q9M8,['Thymidylate kinase'],Homodimer.,"['tmk', 'SCLAV_2533']"
346,E2QA89,['Thymidine kinase'],Homotetramer.,"['tdk', 'SCLAV_4716']"
347,E2PUV8,"[""Deoxyuridine 5'-triphosphate nucleotidohydrolase"", 'dUTPase']",Homotetramer.,"['dut', 'SCLAV_4782']"
348,E2Q948,"['1-deoxy-D-xylulose 5-phosphate reductoisomerase', 'DXP reductoisomerase', '1-deoxyxylulose-5-phosphate reductoisomerase', '2-C-methyl-D-erythritol 4-phosphate synthase']",Homotetramer.,"['dxr', 'SCLAV_4590']"
349,E2PVS4,['1-deoxy-D-xylulose-5-phosphate synthase'],Homodimer.,"['dxs', 'dxs2', 'SCLAV_4841']"
350,B5GYJ0,['Glyceraldehyde-3-phosphate dehydrogenase'],Homodimer.,"['gap1', 'SCLAV_1148']"
351,E2Q3X2,['enoyl-CoA hydratase'],Homodimer.,"['echA4', 'SCLAV_3838']"
352,B5GMB2,['Probable enoyl-CoA hydratase echA8'],Homodimer.,[]
353,E2Q1Y1,['2-dehydro-3-deoxy-phosphogluconate aldolase'],Homotrimer.,"['kdgA', 'SCLAV_1532']"
354,E2Q6G3,"['Enolase', '2-phospho-D-glycerate hydro-lyase', '2-phosphoglycerate dehydratase']",Homotrimer.,"['eno', 'SCLAV_2214']"
355,B5H0R7,['Phosphopantetheinyl transferase'],Homotrimer.,[]
356,E2PW80,['Ethanolamine transporter'],Homotrimer.,[]
357,E2Q4H4,['Acyl-CoA thioesterase 2'],Homotetramer.,"['tesB', 'SCLAV_1939']"
358,E2PY11,['Acyl-CoA synthetase'],Homotetramer.,[]
359,B5GRM4,['Acyl-CoA synthetase'],Homotetramer.,[]
360,E2Q060,['4-coumarate CoA ligase'],Homotetramer.,[]
361,B5GWK7,['Acyl-CoA synthetase'],Homotetramer.,[]
362,E2Q6Z7,"['Putative acyl-CoA synthetase, long-chain fatty acid:CoA ligase']",Homotetramer.,[]
363,E2Q6Z4,['FadD-like protein'],Homotetramer.,[]
364,E2Q9D8,['AMP-dependent synthetase and ligase'],Homotetramer.,[]
365,B5H3W2,['Electron transfer flavoprotein subunit beta'],Heterodimer of an alpha and a beta subunit.,[]
366,E2PUG1,['Iron-sulfur-binding reductase'],Heterodimer of an alpha and a beta subunit.,[]
367,E2Q837,['Electron transfer flavoprotein subunit beta'],Heterodimer of an alpha and a beta subunit.,[]
368,E2Q836,['Electron transfer flavoprotein'],Heterodimer of an alpha and a beta subunit.,[]
369,E2PUP3,['Bifunctional cytochrome P450/NADPH--P450 reductase'],Heterodimer of an alpha and a beta subunit.,[]
370,E2PYA6,['Fatty acid oxidation complex alpha-subunit'],Heterodimer of an alpha and a beta subunit.,[]
371,E2PYA5,['Acetyl-CoA acetyltransferase'],Heterodimer of an alpha and a beta subunit.,[]
372,E2PW59,['3-hydroxybutyryl-CoA dehydrogenase'],Heterodimer of an alpha and a beta subunit.,[]
373,B5H0X6,['Enoyl-[acyl-carrier-protein] reductase [NADH]'],Heterodimer of an alpha and a beta subunit.,"['fabI', 'SCLAV_1027']"
374,B5GQL9,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III']",Homodimer.,"['fabH1', 'fabH', 'SCLAV_1626']"
375,E2Q1M5,['Putative oxidoreductase'],Homodimer.,[]
376,B5GNY0,['Ketose-bisphosphate aldolase'],Homodimer.,[]
377,E2Q9Z3,"['Fructose-bisphosphate aldolase', 'FBP aldolase']",Homodimer.,[]
378,E2Q4Y8,['Histidinol-phosphatase'],Homodimer.,[]
379,B5GTU7,"['Fructose-1,6-bisphosphatase']",Homodimer.,"['glpX', 'SCLAV_3951']"
380,B5GUQ5,['Coproporphyrin III ferrochelatase'],Homodimer.,"['hemH', 'cpfC', 'SCLAV_4791']"
381,B5H2L5,['Acyl-CoA thioesterase 2'],Homotetramer.,[]
382,B5GRK9,['Putative oxidoreductase'],Homotetramer.,[]
383,B5GXJ9,['Formate dehydrogenase'],Homotetramer.,[]
384,E2PUY4,['Putative monooxygenase'],Homotetramer.,[]
385,B5GM90,['FMNH2-utilizing oxygenase'],Homotetramer.,[]
386,E2Q146,['Luciferase family protein'],Homotetramer.,[]
387,E2Q4F6,['ABC transporter protein'],Homotetramer.,[]
388,E2PXF3,['Putative iron-siderophore uptake ABC transporter ATP-binding protein'],Homotetramer.,[]
389,B5GU02,"['Cobalamin/Fe3+-siderophores transport system, permease component']",Homotetramer.,[]
390,E2Q8E2,"['Cobalamin/Fe3+-siderophores transport system, permease component']",Homotetramer.,[]
391,E2Q1U1,['Putative permease of the major facilitator superfamily'],Homotetramer.,[]
392,B5GWF3,['NADH-quinone oxidoreductase'],Homotetramer.,"['nuoG1', 'SCLAV_3570']"
393,E2Q964,['Riboflavin biosynthesis protein'],Homotetramer.,[]
394,B5GWL9,['Putative NADPH-dependent FMN reductase'],Homotetramer.,[]
395,E2PYD5,['NADH:flavin oxidoreductase/NADH oxidase'],Homotetramer.,[]
396,D5SKF2,['Putative NADH/NADPH-dependent FMN reductase'],Homotetramer.,[]
397,B5GPB5,['2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase'],Homotetramer.,"['folK', 'SCLAV_2410']"
398,E2Q3U9,['Sarcosine dehydrogenase'],Homotetramer.,[]
399,E2Q4L2,['Amidase'],Homotetramer.,[]
400,E2PZK8,['Putative acyl-CoA transferase'],Homotetramer.,[]
401,E2Q4N5,['Putative succinate dehydrogenase flavoprotein subunit Complex II'],Homotetramer.,[]
402,B5GTW6,['Fumarate reductase iron-sulfur subunit'],Homotetramer.,[]
403,B5H3R6,['Succinate dehydrogenase cytochrome b-556 subunit'],Homotetramer.,[]
404,B5H3R7,['Succinate dehydrogenase membrane subunit'],Homotetramer.,[]
405,B5H3R8,['Succinate dehydrogenase flavoprotein subunit'],Homotetramer.,[]
406,B5H3R9,['Succinate dehydrogenase iron-sulfur subunit'],Homotetramer.,[]
407,E2Q9C2,['Oxidoreductase'],Homotetramer.,[]
408,E2Q277,['Putative oxidoreductase'],Homotetramer.,[]
409,E2PYZ9,['Sugar kinase'],Homotetramer.,[]
410,C6GZ87,['Glucose permease'],Homotetramer.,"['glcP', 'glkP', 'SCLAV_4529']"
411,E2Q7I7,['5-formyltetrahydrofolate cyclo-ligase'],Homotetramer.,[]
412,E2Q078,['Formyltetrahydrofolate deformylase'],Homotetramer.,"['purU', 'SCLAV_3426']"
413,B5GTU1,"['Fumarate hydratase class II', 'Fumarase C', 'Aerobic fumarase', 'Iron-independent fumarase']",Homotetramer.,"['fumC', 'SCLAV_3946']"
414,B5GWG1,['fumarylacetoacetase'],Homotetramer.,[]
415,B5GWD7,['Chorismate dehydratase'],Homotetramer.,"['mqnA', 'SCLAV_3556']"
416,B5H3J3,['Nucleotide sugar-1-phosphate transferase'],Homotetramer.,[]
417,B5GPR6,['Bifunctional protein GlmU'],Homotrimer.,"['glmU', 'SCLAV_2243']"
418,B5GZD7,['Transferase'],Homotrimer.,[]
419,B5GZD0,"['Glutamate-1-semialdehyde 2,1-aminomutase']",Homotrimer.,[]
420,B5GWB7,"['Glutamate-1-semialdehyde 2,1-aminomutase', 'GSA']",Homodimer.,"['hemL', 'SCLAV_3538']"
421,E2PUU2,['Histidinol-phosphatase'],Homodimer.,[]
422,B5GNY6,['ABC transporter solute-binding protein'],Homodimer.,[]
423,E2Q0A9,['FAD dependent oxidoreductase'],Homodimer.,[]
424,E2Q8W5,"['Glycerol-3-phosphate dehydrogenase [NAD(P)+]', 'NAD(P)(+)-dependent glycerol-3-phosphate dehydrogenase', 'NAD(P)H-dependent dihydroxyacetone-phosphate reductase']",Homodimer.,"['gpdA', 'gpsA', 'gpsA2', 'SCLAV_4508']"
425,E2Q361,['glycerol-3-phosphate dehydrogenase'],Homodimer.,[]
426,B5GMF7,"['HAD-superfamily hydrolase, subfamily IA, variant 3']",Homodimer.,[]
427,E2Q767,"['Glucosamine-6-phosphate deaminase', 'GlcN6P deaminase', 'GNPDA', 'Glucosamine-6-phosphate isomerase']",Homodimer.,"['nagB', 'SCLAV_0238']"
428,E2PYJ1,"['Glucose-6-phosphate 1-dehydrogenase', 'G6PD']",Homodimer.,"['zwf', 'SCLAV_1135']"
429,E2PZG0,['Glucose-methanol-choline oxidoreductase'],Homodimer.,[]
430,B5GXE3,"['Carbohydrate ABC transporter substrate-binding protein, CUT1 family']",Homodimer.,[]
431,B5GUV7,['ABC transporter ATP-binding protein'],Homodimer.,[]
432,B5GT07,['Putative sugar ABC transporter ATP-binding protein'],Homodimer.,[]
433,E2PWC6,"['Sugar ABC transporter, ATP-binding protein']",Homodimer.,[]
434,E2Q198,['Major facilitator protein'],Homodimer.,[]
435,E2Q7C1,['Galactokinase'],Homodimer.,[]
436,E2PZ54,['Alpha-galactosidase'],Homodimer.,"['agaB3', 'SCLAV_5243']"
437,E2Q7C3,['Galactose-1-phosphate uridylyltransferase'],Homodimer.,[]
438,B5GPZ1,['UTP--glucose-1-phosphate uridylyltransferase'],Homodimer.,[]
439,D5SL13,['Staurosporine biosynthesis glucose-1-phosphate thymidyltransferase StaA'],Homodimer.,"['staA', 'SCLAV_p1120']"
440,B5GPN3,['Sugar phosphate permease'],Homodimer.,[]
441,E2Q1F0,['Glyceraldehyde-3-phosphate dehydrogenase'],Homodimer.,[]
442,E2Q392,"['Phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase"", 'GAR transformylase', 'GART']",Homodimer.,"['purN', 'SCLAV_3735']"
443,B5GV08,['Dihydrolipoyl dehydrogenase'],Homodimer.,[]
444,B5GYZ6,"['Glycine dehydrogenase (decarboxylating)', 'Glycine cleavage system P-protein', 'Glycine decarboxylase', 'Glycine dehydrogenase (aminomethyl-transferring)']","The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcsP', 'gcvP', 'SCLAV_0609']"
445,B5GVF5,['Aminomethyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvT', 'SCLAV_4401']"
446,E2Q3I4,['Flavoprotein disulfide reductase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[]
447,E2QA47,['Putative ppGpp synthetase/hydrolase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['relA2', 'SCLAV_4674']"
448,B5GV72,['Putative NUDIX hydrolase family protein'],Homodimer.,[]
449,B5GZN2,['Nucleoside triphosphate pyrophosphohydrolase'],Homodimer.,[]
450,B5GX12,['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]'],Homodimer.,"['glmS', 'SCLAV_3673']"
451,B5H1N2,"['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]', 'D-fructose-6-phosphate amidotransferase', 'GFAT', 'Glucosamine-6-phosphate synthase', 'Hexosephosphate aminotransferase', 'L-glutamine--D-fructose-6-phosphate amidotransferase']",Homodimer.,"['glmS', 'SCLAV_1955']"
452,E2Q939,['Oxidoreductase'],Homodimer.,[]
453,B5GP07,['FAD dependent oxidoreductase'],Homodimer.,[]
454,E2PUX2,['L-glutamine synthetase'],Homodimer.,[]
455,E2PX29,['Glutathione hydrolase proenzyme'],"This enzyme consists of two polypeptide chains, which are synthesized in precursor form from a single polypeptide.",[]
456,B5GV69,['Putative 3-hydroxyisobutyrate dehydrogenase'],"This enzyme consists of two polypeptide chains, which are synthesized in precursor form from a single polypeptide.","['mmsB', 'SCLAV_1880']"
457,B5GVF3,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'SCLAV_4399']"
458,E2Q6N7,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'SCLAV_4262']"
459,B5H2V9,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'SCLAV_3757']"
460,E2Q6X1,"['1,4-alpha-glucan branching enzyme GlgB', '1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase', 'Alpha-(1->4)-glucan branching enzyme', 'Glycogen branching enzyme', 'BE']",Monomer.,"['glgB', 'glgB2', 'SCLAV_4347']"
461,E2Q5F7,['Sugar ABC transporter permease protein'],Monomer.,"['dasC', 'SCLAV_4096']"
462,E2Q1X1,"['Carbohydrate ABC transporter membrane protein 1, CUT1 family']",Monomer.,[]
463,E2Q7X3,['Oxidoreductase'],Monomer.,[]
464,E2Q9R2,['Glucose/sorbosone dehydrogenase'],Monomer.,[]
465,B5GZZ3,['Gluconate permease'],Monomer.,[]
466,E2Q6X5,['glycogen phosphorylase'],Monomer.,"['glgP', 'SCLAV_4351']"
467,D5SL40,['glucarate dehydratase'],Monomer.,[]
468,B5GU71,['Transmembrane transport protein'],Monomer.,[]
469,E2PVW3,['Glycogen debranching enzyme'],Monomer.,[]
470,B5GRR4,['Putative glutamate ABC transporter permease'],Monomer.,[]
471,B5GYA8,['Glutamate binding protein'],Monomer.,"['gluB', 'SCLAV_4662']"
472,E2Q4L3,['Putative polar amino acid ABC transporter substrate-binding protein'],Monomer.,[]
473,E2Q1S4,['Glutamine synthetase'],Monomer.,[]
474,E2Q0W7,['Glutamine synthetase'],Homooctamer and homotetramer.,"['glnA3', 'SCLAV_1431']"
475,E2Q0V2,['Glutamine synthetase'],Oligomer of 12 subunits arranged in the form of two hexagons.,"['glnA2', 'SCLAV_1416']"
